timestamp_ms,source,can_id,speed_kmh,rpm,throttle_pct,engine_load_pct,maf_g_s,coolant_temp_c,session_label,obd_latency_ms
0,DIAG,0x000,,,,,,,,Economico,BOOT fw=0.2.0 heap_alloc=58KB flash=400KB tasks=9 backlog_cap=16KB
1787594700001,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700002,CAN_DBC,0x100,41.0,1250,,,,,Economico,
1787594700002,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700002,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700002,CAN_DBC,0x100,40.0,1210,,,,,Economico,
1787594700008,OBD_PID,0x706,,,,,,87.0,Economico,1.729
1787594700015,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700065,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700066,CAN_DBC,0x100,40.0,1200,,,,,Economico,
1787594700109,OBD_PID,0x701,40.0,,,,,,Economico,1.959
1787594700115,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700166,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700167,CAN_DBC,0x100,40.0,1210,,,,,Economico,
1787594700209,OBD_PID,0x702,,1210,,,,,Economico,1.305
1787594700215,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700265,CAN_DBC,0x200,,,9.8,7.8,,,Economico,
1787594700267,CAN_DBC,0x100,41.0,1250,,,,,Economico,
1787594700310,OBD_PID,0x703,,,10.2,,,,Economico,1.794
1787594700315,CAN_DBC,0x200,,,11.0,8.6,,,Economico,
1787594700365,CAN_DBC,0x200,,,11.0,8.6,,,Economico,
1787594700367,CAN_DBC,0x100,43.0,1307,,,,,Economico,
1787594700410,OBD_PID,0x704,,,,9.0,,,Economico,1.180
1787594700415,CAN_DBC,0x200,,,11.8,9.8,,,Economico,
1787594700465,CAN_DBC,0x200,,,11.8,9.8,,,Economico,
1787594700466,CAN_DBC,0x100,45.0,1388,,,,,Economico,
1787594700511,OBD_PID,0x705,,,,,2.96,,Economico,1.580
1787594700515,CAN_DBC,0x200,,,12.9,11.0,,,Economico,
1787594700565,CAN_DBC,0x200,,,13.7,11.0,,,Economico,
1787594700567,CAN_DBC,0x100,48.0,1490,,,,,Economico,
1787594700612,OBD_PID,0x706,,,,,,87.0,Economico,1.927
1787594700615,CAN_DBC,0x200,,,14.9,11.8,,,Economico,
1787594700665,CAN_DBC,0x200,,,15.7,12.9,,,Economico,
1787594700667,CAN_DBC,0x100,52.0,1602,,,,,Economico,
1787594700667,CAN_DBC,0x300,,,,,,87.0,Economico,
1787594700712,OBD_PID,0x701,52.0,,,,,,Economico,1.366
1787594700715,CAN_DBC,0x200,,,16.9,13.7,,,Economico,
1787594700778,CAN_DBC,0x200,,,17.6,14.9,,,Economico,
1787594700778,CAN_DBC,0x100,56.0,1725,,,,,Economico,
1787594700825,CAN_DBC,0x200,,,18.8,15.7,,,Economico,
1787594700831,OBD_PID,0x702,,1786,,,,,Economico,2.368
1787594700865,CAN_DBC,0x200,,,20.0,16.9,,,Economico,
1787594700867,CAN_DBC,0x100,60.0,1852,,,,,Economico,
1787594700915,CAN_DBC,0x200,,,20.0,16.9,,,Economico,
1787594700930,OBD_PID,0x703,,,20.0,,,,Economico,1.024
1787594700965,CAN_DBC,0x200,,,20.8,16.9,,,Economico,
1787594700966,CAN_DBC,0x100,63.0,1974,,,,,Economico,
1787594701015,CAN_DBC,0x200,,,22.0,17.6,,,Economico,
1787594701031,OBD_PID,0x704,,,,18.0,,,Economico,1.579
1787594701066,CAN_DBC,0x200,,,22.7,18.8,,,Economico,
1787594701066,CAN_DBC,0x100,67.0,2097,,,,,Economico,
1787594701115,CAN_DBC,0x200,,,23.9,20.0,,,Economico,
1787594701132,OBD_PID,0x705,,,,,5.84,,Economico,1.943
1787594701165,CAN_DBC,0x200,,,24.7,20.8,,,Economico,
1787594701169,CAN_DBC,0x100,71.0,2209,,,,,Economico,
1787594701215,CAN_DBC,0x200,,,25.9,22.0,,,Economico,
1787594701232,OBD_PID,0x706,,,,,,87.0,Economico,1.404
1787594701265,CAN_DBC,0x200,,,26.7,22.0,,,Economico,
1787594701266,CAN_DBC,0x100,74.0,2311,,,,,Economico,
1787594701315,CAN_DBC,0x200,,,26.7,22.0,,,Economico,
